30 20
##############################
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#####                        #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
#                            #
##############################
